date_time,cpu_percent,mem_percent,cpu_average,pid_len,cpu_listval
2023-05-30 11:04:19,30.0,54.1,23.5,303,"34.3,10.9,44.1,9.4,47.4,17.2,16.9,7.8"
2023-05-30 11:04:31,25.9,53.9,30.22,304,"40.3,10.8,42.6,18.5,36.4,34.8,33.8,24.6"
2023-05-30 11:04:44,14.0,55.0,23.74,304,"43.4,17.2,29.2,14.1,34.4,12.5,20.3,18.8"
2023-05-30 11:04:56,22.1,55.0,27.15,308,"38.4,18.5,38.8,20.0,40.0,29.2,16.9,15.4"
2023-05-30 11:05:08,32.2,54.6,20.04,307,"31.9,6.2,35.3,16.9,23.1,11.9,22.7,12.3"
2023-05-30 11:05:20,27.9,54.4,24.39,308,"30.9,9.2,51.3,12.3,30.8,17.9,24.2,18.5"
2023-05-30 11:05:32,19.6,54.2,16.74,308,"23.5,10.9,23.4,17.2,17.2,13.8,13.8,14.1"
2023-05-30 11:05:44,24.2,54.1,17.26,306,"25.0,13.4,32.8,16.4,10.8,9.2,16.7,13.8"
2023-05-30 11:05:56,42.1,54.2,45.23,305,"47.0,60.0,51.6,36.9,61.7,32.3,32.3,40.0"
2023-05-30 11:06:08,26.7,54.1,19.78,307,"39.7,4.7,31.2,7.8,26.6,12.5,27.9,7.8"
2023-05-30 11:06:20,22.5,54.2,18.0,306,"70.6,3.1,26.0,1.5,27.3,6.2,6.2,3.1"
2023-05-30 11:06:32,31.6,54.0,29.77,305,"60.9,7.7,45.5,13.8,41.5,20.0,31.9,16.9"
2023-05-30 11:06:44,18.3,54.2,25.18,304,"63.1,23.2,35.4,9.4,34.4,9.4,15.6,10.9"
2023-05-30 11:06:56,20.9,54.5,19.64,307,"40.0,25.4,34.8,7.7,13.8,10.8,13.8,10.8"
2023-05-30 11:07:08,15.8,54.1,19.66,307,"60.5,1.5,42.3,4.6,22.4,7.7,7.7,10.6"
2023-05-30 11:07:20,28.4,54.4,28.81,308,"53.8,12.5,58.5,23.4,23.4,15.2,28.1,15.6"
2023-05-30 11:07:32,23.0,54.5,30.73,307,"61.5,14.9,25.8,6.2,28.8,58.4,45.6,4.6"
2023-05-30 11:07:44,24.2,54.6,24.77,307,"29.0,12.3,39.2,20.0,23.1,18.5,28.4,27.7"
2023-05-30 11:07:56,34.8,54.5,24.59,306,"69.0,17.2,34.3,10.9,23.1,14.1,17.2,10.9"
2023-05-30 11:08:08,25.8,54.4,17.36,305,"59.6,6.2,18.2,7.7,28.8,3.1,9.1,6.2"
2023-05-30 11:08:20,37.0,54.4,22.61,304,"75.5,15.6,33.8,15.6,15.4,12.5,7.8,4.7"
2023-05-30 11:08:32,29.0,54.4,22.59,305,"58.3,13.8,18.5,16.9,16.9,13.2,24.6,18.5"
2023-05-30 11:08:45,23.5,54.5,34.15,305,"66.7,24.6,46.2,24.6,31.3,42.9,20.0,16.9"
2023-05-30 11:08:57,23.3,54.5,23.29,305,"56.1,10.8,38.6,6.2,50.0,10.8,9.2,4.6"
2023-05-30 11:09:09,20.6,54.3,20.19,304,"76.7,10.8,26.9,9.2,31.8,1.5,1.5,3.1"
2023-05-30 11:09:21,22.8,54.3,22.1,305,"80.2,7.7,30.8,10.8,25.8,9.2,7.7,4.6"
2023-05-30 11:09:33,30.8,54.4,27.51,305,"44.8,10.8,15.4,20.0,26.2,15.4,16.7,70.8"
2023-05-30 11:09:45,25.1,54.3,21.26,305,"83.2,4.7,38.6,4.7,23.4,3.1,6.2,6.2"
2023-05-30 11:09:57,21.5,54.4,25.28,306,"48.7,9.4,38.4,17.2,28.1,16.9,15.6,27.9"
